  Age,Gender,  Marital status,Current primary role,Highest level of education,Stream/Decipline,  Type of institution,Living arrangement,  Do you currently earn an income?,  Approximate monthly household income,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,Target
18-24,Male,Single,Student,Undergraduate,Arts / Humanities,Government / Public,With family,No,Prefer not to say,3,4,2,3,4,2,4,1,5,5,5,5,3,5,3,4,1,2
18-24,Female,Single,Employed (full-time),Undergraduate,Commerce / Management,Private,With family,Yes,"Below ₹20,000",3,4,4,3,3,4,2,4,4,4,4,3,4,4,3,4,4,2
25-34,Female,Married,Employed (full-time),Postgraduate,Engineering / Technology,Private,With family,Yes,"₹50,001–₹1,00,000",2,4,2,4,4,2,4,2,4,4,4,2,4,4,4,4,4,2
25-34,Female,Single,Employed (full-time),Postgraduate,Commerce / Management,Private,With family,Yes,"₹20,000–₹50,000",1,3,1,2,2,3,3,4,4,4,4,4,4,4,3,3,4,2
35-44,Female,Married,Employed (full-time),Postgraduate,Commerce / Management,Private,With family,Yes,"Above ₹1,00,000",4,4,4,4,5,2,4,4,5,5,5,3,4,2,2,4,5,3
18-24,Female,Single,Student,Undergraduate,Science,Private,With family,Yes,Prefer not to say,2,2,2,2,4,2,2,4,4,4,4,4,4,4,4,4,4,2
18-24,Female,Single,Student,Secondary / Higher Secondary,Arts / Humanities,Autonomous / Deemed,With family,No,"Below ₹20,000",2,4,3,3,1,2,3,2,4,5,4,5,3,5,4,5,5,3
18-24,Female,Single,Student,Undergraduate,Commerce / Management,Private,With family,No,"₹20,000–₹50,000",2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
18-24,Female,Single,Student,Secondary / Higher Secondary,Arts / Humanities,Private,With family,No,"₹20,000–₹50,000",5,3,4,3,5,3,3,4,4,4,3,5,5,4,4,5,4,3
18-24,Male,Single,Student,Undergraduate,Engineering / Technology,Private,Rented/Shared accommodation,No,"Below ₹20,000",1,2,3,1,4,3,4,4,4,4,3,5,2,4,3,5,4,3
